generic_name;cns_drug;smiles
Buspirone;TRUE;O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1
Butalbital;TRUE;CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
Butorphanol;TRUE;[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1
Caffeine;TRUE;CN1C=NC2=C1C(=O)N(C)C(=O)N2C
Carbamazepine;TRUE;NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12
Carbidopa;TRUE;O.C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
Carisoprodol;TRUE;CCCC(C)(COC(N)=O)COC(=O)NC(C)C
Celecoxib;TRUE;CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
Chlordiazepoxide;TRUE;CNC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=N(=O)C1
Chlorpromazine;TRUE;CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2
Chlorzoxazone;TRUE;ClC1=CC2=C(OC(=O)N2)C=C1
Choline;TRUE;C[N+](C)(C)CCO
Citalopram;TRUE;CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
Clobazam;TRUE;CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O
Clomipramine;TRUE;CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=C(Cl)C=C2
Clonazepam;TRUE;[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1
Clonidine;TRUE;ClC1=CC=CC(Cl)=C1NC1=NCCN1
Clorazepate;TRUE;OC(=O)C1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
Clozapine;TRUE;CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12
Codeine;TRUE;[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
Cyclobenzaprine;TRUE;CN(C)CCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12
Dalfampridine;TRUE;NC1=CC=NC=C1
Dantrolene;TRUE;[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=NN1CC(=O)NC1=O
Darifenacin;TRUE;NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1
Desipramine;TRUE;CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12
Desvenlafaxine;TRUE;CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1
Dexmethylphenidate;TRUE;COC(=O)[C@@H]([C@H]1CCCCN1)C1=CC=CC=C1
Dextroamphetamine;TRUE;C[C@H](N)CC1=CC=CC=C1
Dextromethorphan;TRUE;[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(OC)C=C2
Diazepam;TRUE;CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
Diclofenac;TRUE;OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
Diflunisal;TRUE;OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1
Dihydrocodeine;TRUE;[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CC[C@@H]2O
Dihydroergotamine;TRUE;[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O
Disulfiram;TRUE;CCN(CC)C(=S)SSC(=S)N(CC)CC
Dolasetron;TRUE;[H][C@]12CC(CC3CC(C1)C(=O)CN23)OC(=O)C1=CNC2=CC=CC=C12
Donepezil;TRUE;COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1
Doxapram;TRUE;CCN1CC(CCN2CCOCC2)C(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1
Doxepin;TRUE;[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Dronabinol;TRUE;[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=CC(CCCCC)=CC(O)=C21
Droperidol;TRUE;FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12
Duloxetine;TRUE;CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1
Eletriptan;TRUE;CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2
Entacapone;TRUE;CCN(CC)C(=O)C(=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O)\C#N
Ergotamine;TRUE;[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)C4=C3)O[C@@]21O
Escitalopram;TRUE;CN(C)CCC[C@]1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
Estazolam;TRUE;ClC1=CC2=C(C=C1)N1C=NN=C1CN=C2C1=CC=CC=C1
Eszopiclone;TRUE;CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1
Ethosuximide;TRUE;CCC1(C)CC(=O)NC1=O
Ethotoin;TRUE;CCN1C(=O)NC(C1=O)C1=CC=CC=C1
Etodolac;TRUE;CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1
Ezogabine;TRUE;CCOC(=O)NC1=C(N)C=C(NCC2=CC=C(F)C=C2)C=C1
Felbamate;TRUE;NC(=O)OCC(COC(N)=O)C1=CC=CC=C1
Fenoprofen;TRUE;CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1
Fentanyl;TRUE;CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1
Fesoterodine;TRUE;CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C
Fingolimod;TRUE;CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1
Flumazenil;TRUE;CCOC(=O)C1=C2CN(C)C(=O)C3=C(C=CC(F)=C3)N2C=N1
Fluoxetine;TRUE;CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
Fluphenazine;TRUE;OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1
Flurazepam;TRUE;CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F
Flurbiprofen;TRUE;CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1
Fluvoxamine;TRUE;COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F
Fosaprepitant;TRUE;C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N(N2)P(O)(O)=O)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
Fosphenytoin;TRUE;OP(O)(=O)OCN1C(=O)NC(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1
Frovatriptan;TRUE;CN[C@@H]1CCC2=C(C1)C1=C(N2)C=CC(=C1)C(N)=O
Gabapentin;TRUE;NCC1(CC(O)=O)CCCCC1
Galantamine;TRUE;[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3
Granisetron;TRUE;CN1N=C(C(=O)NC2CC3CCCC(C2)N3C)C2=CC=CC=C12
Guanfacine;TRUE;NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl
Haloperidol;TRUE;OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
Hydrocodone;TRUE;[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O
Hydromorphone;TRUE;[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O
Hydroxyzine;TRUE;OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
Ibuprofen;TRUE;CC(C)CC1=CC=C(C=C1)C(C)C(O)=O
Iloperidone;TRUE;COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O
Imipramine;TRUE;CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12
Indomethacin;TRUE;COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O
Isometheptene;TRUE;CNC(C)CCC=C(C)C
Ketoprofen;TRUE;CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1
Ketorolac;TRUE;OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1
Lacosamide;TRUE;COC[C@@H](NC(C)=O)C(=O)NCC1=CC=CC=C1
Lamotrigine;TRUE;NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1
Levetiracetam;TRUE;CC[C@@H](N1CCCC1=O)C(N)=O
Levodopa;TRUE;N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O
Levorphanol;TRUE;[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2
Lisdexamfetamine;TRUE;C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN
Lithium;TRUE;[Li+]
Lorazepam;TRUE;OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
Loxapine;TRUE;CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2
Lurasidone;TRUE;O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(CC1)C1=NSC2=CC=CC=C12
Maprotiline;TRUE;CNCCCC12CCC(C3=CC=CC=C13)C1=CC=CC=C21
Meclizine;TRUE;CC1=CC(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)=CC=C1
Meloxicam;TRUE;CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O
Memantine;TRUE;CC12CC3CC(C)(C1)CC(N)(C3)C2
Meperidine;TRUE;CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1
Metaxalone;TRUE;CC1=CC(OCC2CNC(=O)O2)=CC(C)=C1
Methadone;TRUE;CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
Methamphetamine;TRUE;CN[C@@H](C)CC1=CC=CC=C1
Methocarbamol;TRUE;COC1=CC=CC=C1OCC(O)COC(N)=O
Methsuximide;TRUE;CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1
Methylphenidate;TRUE;COC(=O)C(C1CCCCN1)C1=CC=CC=C1
Miglustat;TRUE;CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
Milnacipran;TRUE;CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C1=CC=CC=C1
Mirabegron;TRUE;NC1=NC(CC(=O)NC2=CC=C(CCNC[C@H](O)C3=CC=CC=C3)C=C2)=CS1
Mirtazapine;TRUE;CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1
Misoprostol;TRUE;CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
Modafinil;TRUE;NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
Molindone;TRUE;CCC1=C(C)NC2=C1C(=O)C(CN1CCOCC1)CC2
Morphine;TRUE;[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
Nabilone;TRUE;[H][C@@]12CC(=O)CC[C@@]1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC
Nabumetone;TRUE;COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2
Nalbuphine;TRUE;O[C@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC2CCC2)[C@H]1O5
Naloxone;TRUE;[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC=C)[C@]([H])(C4)[C@]1(O)CCC2=O
Naltrexone;TRUE;[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O
Naproxen;TRUE;COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O
Naratriptan;TRUE;CNS(=O)(=O)CCC1=CC2=C(NC=C2C2CCN(C)CC2)C=C1
Nefazodone;TRUE;CCC1=NN(CCCN2CCN(CC2)C2=CC(Cl)=CC=C2)C(=O)N1CCOC1=CC=CC=C1
Neostigmine;TRUE;CN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C
Nicotine;TRUE;CN1CCCC1C1=CN=CC=C1
Nimodipine;TRUE;COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C
Nortriptyline;TRUE;CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
Olanzapine;TRUE;CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2
Ondansetron;TRUE;CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2
Orphenadrine;TRUE;CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1C
Oxaprozin;TRUE;OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1
Oxazepam;TRUE;OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
Oxcarbazepine;TRUE;NC(=O)N1C2=CC=CC=C2CC(=O)C2=CC=CC=C12
Oxybutynin;TRUE;CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
Oxycodone;TRUE;[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CCC2=O
Oxymorphone;TRUE;[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CCC2=O
Paliperidone;TRUE;CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCC(O)C2=N1
Paroxetine;TRUE;FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1
Pentazocine;TRUE;C[C@H]1[C@H]2CC3=CC=C(O)C=C3[C@]1(C)CCN2CC=C(C)C
Perphenazine;TRUE;OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
Phenelzine;TRUE;NNCCC1=CC=CC=C1
Phenobarbital;TRUE;CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1
Phenytoin;TRUE;O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
Pimozide;TRUE;FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1
Piroxicam;TRUE;CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O
Pramipexole;TRUE;CCCN[C@H]1CCC2=C(C1)SC(N)=N2
Pregabalin;TRUE;CC(C)C[C@H](CN)CC(O)=O
Primidone;TRUE;CCC1(C(=O)NCNC1=O)C1=CC=CC=C1
Prochlorperazine;TRUE;CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
Promethazine;TRUE;CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C
Protriptyline;TRUE;CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12
Pyridostigmine;TRUE;CN(C)C(=O)OC1=C[N+](C)=CC=C1
Quetiapine;TRUE;OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=CC=CC=C12
Quinidine;TRUE;[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1
Ramelteon;TRUE;CCC(=O)NCC[C@@H]1CCC2=C1C1=C(OCC1)C=C2
Rasagiline;TRUE;C#CCN[C@@H]1CCC2=CC=CC=C12
Remifentanil;TRUE;CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC
Riluzole;TRUE;NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2
Risperidone;TRUE;CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1
Rivastigmine;TRUE;CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C
Rizatriptan;TRUE;CN(C)CCC1=CNC2=C1C=C(CN1C=NC=N1)C=C2
Ropinirole;TRUE;CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
Rotigotine;TRUE;CCCN(CCC1=CC=CS1)C1CCC2=C(C1)C=CC=C2O
Rufinamide;TRUE;NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1
Salsalate;TRUE;OC(=O)C1=CC=CC=C1OC(=O)C1=CC=CC=C1O
Selegiline;TRUE;CC(CC1=CC=CC=C1)N(C)CC#C
Sertraline;TRUE;CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12
Solifenacin;TRUE;OC(=O)CCC(O)=O.O=C(O[C@H]1CN2CCC1CC2)N1CCC2=CC=CC=C2[C@@H]1C1=CC=CC=C1
Sufentanil;TRUE;CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1
Sulindac;TRUE;CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O
Sumatriptan;TRUE;CNS(=O)(=O)CC1=CC2=C(NC=C2CCN(C)C)C=C1
Tapentadol;TRUE;CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1
Temazepam;TRUE;CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
Tetrabenazine;TRUE;COC1=C(OC)C=C2C3CC(=O)C(CC(C)C)CN3CCC2=C1
Thioridazine;TRUE;CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1
Thiothixene;TRUE;CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3\C2=C\CCN2CCN(C)CC2)C=C1
Tiagabine;TRUE;CC1=C(SC=C1)C(=CCCN1CCC[C@H](C1)C(O)=O)C1=C(C)C=CS1
Tizanidine;TRUE;ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1
Tolcapone;TRUE;CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O
Tolmetin;TRUE;CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1
Tolterodine;TRUE;CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(O)C=CC(C)=C1)C(C)C
Topiramate;TRUE;[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2
Tramadol;TRUE;COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C
Tranylcypromine;TRUE;N[C@@H]1CC1C1=CC=CC=C1
Trazodone;TRUE;ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1
Triazolam;TRUE;CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=C(C=CC(Cl)=C3)N12
Trifluoperazine;TRUE;CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1
Trihexyphenidyl;TRUE;OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1
Trimethobenzamide;TRUE;COC1=CC(=CC(OC)=C1OC)C(=O)NCC1=CC=C(OCCN(C)C)C=C1
Trimipramine;TRUE;CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12
Trospium;TRUE;OC(C(=O)OC1CC2CCC(C1)[N+]21CCCC1)(C1=CC=CC=C1)C1=CC=CC=C1
Varenicline;TRUE;[H][C@]12C[C@]([H])(CNC1)C1=CC3=NC=CN=C3C=C21
Venlafaxine;TRUE;COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1
Vigabatrin;TRUE;NC(CCC(O)=O)C=C
Vilazodone;TRUE;NC(=O)C1=CC2=C(O1)C=CC(=C2)N1CCN(CCCCC2=CNC3=C2C=C(C=C3)C#N)CC1
Zaleplon;TRUE;CCN(C(C)=O)C1=CC=CC(=C1)C1=CC=NC2=C(C=NN12)C#N
Ziprasidone;TRUE;ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
Zolmitriptan;TRUE;CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12
Zolpidem;TRUE;CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1
Zonisamide;TRUE;NS(=O)(=O)CC1=NOC2=CC=CC=C12
